experiment,ablation,arm,reference_arm,model,seed,logical_model,model_reference,architecture_differs,regime,observation_mode,reference_observation_mode,logical_dof,dof,dof_reference,horizon_samples,horizon_s,lookback,reference_lookback,parameter_matched,arm_parameter_matched,privileged_information,vehicle_blind_to_arm,capacity_confounded,n_params,n_params_reference,param_delta_frac,not_fittable,raw_rmse_comparable,on_residual_floor,note,skill,skill_reference,skill_diff,nrmse,nrmse_reference,nrmse_diff,skill_diff_ci_lo,skill_diff_ci_hi,skill_diff_ci_point,skill_diff_ci_reason,ci_resample_unit,ci_n_units,ci_n_realizations,n_boot,ci_level,bootstrap_seed
e04b_channels,channels,attitude_only,reference,ar20,0.0,ar20,ar20,False,id,ideal,ideal,pitch,pitch,pitch,100,10.0,200,200,False,True,False,False,True,27450.0,108900.0,-0.7479338842975206,,True,False,"forecasts roll/pitch/heave only; the rate rows do not exist here and are not imputed, and the quiescence metric cannot be evaluated on this arm",0.5156047656736473,0.544592227572446,-0.02898746189879864,0.8742850353030994,0.8477217640675357,0.02656327123556368,-0.03728698962860562,-0.019517596601381384,-0.028987461898798583,,grid_cell,48.0,384.0,1000.0,0.95,0.0
e04b_channels,channels,attitude_only,reference,ar20,0.0,ar20,ar20,False,id,ideal,ideal,pitch,pitch,pitch,150,15.0,200,200,False,True,False,False,True,27450.0,108900.0,-0.7479338842975206,,True,False,"forecasts roll/pitch/heave only; the rate rows do not exist here and are not imputed, and the quiescence metric cannot be evaluated on this arm",0.5219376264768576,0.5303357320163543,-0.008398105539496714,0.9949804654289616,0.9862023493166328,0.008778116112328815,-0.015315677649336267,-0.0008754466342547445,-0.00839810553949677,,grid_cell,48.0,384.0,1000.0,0.95,0.0
e04b_channels,channels,attitude_only,reference,ar20,0.0,ar20,ar20,False,id,ideal,ideal,roll,roll,roll,10,1.0,200,200,False,True,False,False,True,27450.0,108900.0,-0.7479338842975206,,True,False,"forecasts roll/pitch/heave only; the rate rows do not exist here and are not imputed, and the quiescence metric cannot be evaluated on this arm",0.999803163428482,0.9999854912416798,-0.00018232781319782454,0.007408274848297,0.0020113113930259,0.0053969634552711,-0.00029842911774750067,-0.00012425397359373282,-0.0001823278131978643,,grid_cell,48.0,384.0,1000.0,0.95,0.0
e04b_channels,channels,attitude_only,reference,ar20,0.0,ar20,ar20,False,id,ideal,ideal,roll,roll,roll,20,2.0,200,200,False,True,False,False,True,27450.0,108900.0,-0.7479338842975206,,True,False,"forecasts roll/pitch/heave only; the rate rows do not exist here and are not imputed, and the quiescence metric cannot be evaluated on this arm",0.9987855101047792,0.9997618987973158,-0.0009763886925365783,0.0354243758393624,0.0156850550975069,0.0197393207418555,-0.001547118328072316,-0.0006897376407762937,-0.0009763886925364438,,grid_cell,48.0,384.0,1000.0,0.95,0.0
e04b_channels,channels,attitude_only,reference,ar20,0.0,ar20,ar20,False,id,ideal,ideal,roll,roll,roll,30,3.0,200,200,False,True,False,False,True,27450.0,108900.0,-0.7479338842975206,,True,False,"forecasts roll/pitch/heave only; the rate rows do not exist here and are not imputed, and the quiescence metric cannot be evaluated on this arm",0.9961754057839516,0.9986915341501796,-0.0025161283662280542,0.088410459955601,0.0517120987609704,0.036698361194630595,-0.0038851686315927282,-0.0018367348718754976,-0.0025161283662280785,,grid_cell,48.0,384.0,1000.0,0.95,0.0
e04b_channels,channels,attitude_only,reference,ar20,0.0,ar20,ar20,False,id,ideal,ideal,roll,roll,roll,50,5.0,200,200,False,True,False,False,True,27450.0,108900.0,-0.7479338842975206,,True,False,"forecasts roll/pitch/heave only; the rate rows do not exist here and are not imputed, and the quiescence metric cannot be evaluated on this arm",0.9882704397603256,0.9924258894070032,-0.004155449646677578,0.2082496323191401,0.1673436353758645,0.0409059969432756,-0.006416829355976854,-0.0029708029823248537,-0.004155449646677586,,grid_cell,48.0,384.0,1000.0,0.95,0.0
e04b_channels,channels,attitude_only,reference,ar20,0.0,ar20,ar20,False,id,ideal,ideal,roll,roll,roll,100,10.0,200,200,False,True,False,False,True,27450.0,108900.0,-0.7479338842975206,,True,False,"forecasts roll/pitch/heave only; the rate rows do not exist here and are not imputed, and the quiescence metric cannot be evaluated on this arm",0.8957585366175365,0.9264175802617908,-0.030659043644254313,0.3319322208341534,0.2788792453546082,0.05305297547954524,-0.045947957770808186,-0.02235351696043039,-0.03065904364425434,,grid_cell,48.0,384.0,1000.0,0.95,0.0
e04b_channels,channels,attitude_only,reference,ar20,0.0,ar20,ar20,False,id,ideal,ideal,roll,roll,roll,150,15.0,200,200,False,True,False,False,True,27450.0,108900.0,-0.7479338842975206,,True,False,"forecasts roll/pitch/heave only; the rate rows do not exist here and are not imputed, and the quiescence metric cannot be evaluated on this arm",0.8840225632350196,0.908622042153942,-0.024599478918922446,0.4842183782628757,0.4298087373707951,0.05440964089208061,-0.034125248588716274,-0.018012311040129198,-0.024599478918922377,,grid_cell,48.0,384.0,1000.0,0.95,0.0
e04b_channels,channels,attitude_only,reference,damped_persistence,0.0,damped_persistence,damped_persistence,False,id,ideal,ideal,heave,heave,heave,10,1.0,200,200,False,True,False,False,True,3.0,6.0,-0.5,,True,False,"forecasts roll/pitch/heave only; the rate rows do not exist here and are not imputed, and the quiescence metric cannot be evaluated on this arm",-0.4618271488661367,-0.4618271488661367,0.0,0.7035013399229806,0.7035013399229806,0.0,0.0,0.0,0.0,,grid_cell,48.0,384.0,1000.0,0.95,0.0
e04b_channels,channels,attitude_only,reference,damped_persistence,0.0,damped_persistence,damped_persistence,False,id,ideal,ideal,heave,heave,heave,20,2.0,200,200,False,True,False,False,True,3.0,6.0,-0.5,,True,False,"forecasts roll/pitch/heave only; the rate rows do not exist here and are not imputed, and the quiescence metric cannot be evaluated on this arm",0.1634963548560603,0.1634963548560603,0.0,1.0097460066782036,1.0097460066782036,0.0,0.0,0.0,0.0,,grid_cell,48.0,384.0,1000.0,0.95,0.0
e04b_channels,channels,attitude_only,reference,damped_persistence,0.0,damped_persistence,damped_persistence,False,id,ideal,ideal,heave,heave,heave,30,3.0,200,200,False,True,False,False,True,3.0,6.0,-0.5,,True,False,"forecasts roll/pitch/heave only; the rate rows do not exist here and are not imputed, and the quiescence metric cannot be evaluated on this arm",0.4663423104892308,0.4663423104892308,0.0,1.107768223900099,1.107768223900099,0.0,0.0,0.0,0.0,,grid_cell,48.0,384.0,1000.0,0.95,0.0
e04b_channels,channels,attitude_only,reference,damped_persistence,0.0,damped_persistence,damped_persistence,False,id,ideal,ideal,heave,heave,heave,50,5.0,200,200,False,True,False,False,True,3.0,6.0,-0.5,,True,False,"forecasts roll/pitch/heave only; the rate rows do not exist here and are not imputed, and the quiescence metric cannot be evaluated on this arm",0.6874282712160603,0.6874282712160603,0.0,1.061861990280554,1.061861990280554,0.0,0.0,0.0,0.0,,grid_cell,48.0,384.0,1000.0,0.95,0.0
e04b_channels,channels,attitude_only,reference,damped_persistence,0.0,damped_persistence,damped_persistence,False,id,ideal,ideal,heave,heave,heave,100,10.0,200,200,False,True,False,False,True,3.0,6.0,-0.5,,True,False,"forecasts roll/pitch/heave only; the rate rows do not exist here and are not imputed, and the quiescence metric cannot be evaluated on this arm",0.2307011831951743,0.2307011831951743,0.0,0.9630418244761514,0.9630418244761514,0.0,0.0,0.0,0.0,,grid_cell,48.0,384.0,1000.0,0.95,0.0
e04b_channels,channels,attitude_only,reference,damped_persistence,0.0,damped_persistence,damped_persistence,False,id,ideal,ideal,heave,heave,heave,150,15.0,200,200,False,True,False,False,True,3.0,6.0,-0.5,,True,False,"forecasts roll/pitch/heave only; the rate rows do not exist here and are not imputed, and the quiescence metric cannot be evaluated on this arm",0.4906892443978499,0.4906892443978499,0.0,1.04076779427427,1.04076779427427,0.0,0.0,0.0,0.0,,grid_cell,48.0,384.0,1000.0,0.95,0.0
e04b_channels,channels,attitude_only,reference,damped_persistence,0.0,damped_persistence,damped_persistence,False,id,ideal,ideal,pitch,pitch,pitch,10,1.0,200,200,False,True,False,False,True,3.0,6.0,-0.5,,True,False,"forecasts roll/pitch/heave only; the rate rows do not exist here and are not imputed, and the quiescence metric cannot be evaluated on this arm",-0.2183428300377217,-0.2183428300377217,0.0,0.7970118775552734,0.7970118775552734,0.0,0.0,0.0,0.0,,grid_cell,48.0,384.0,1000.0,0.95,0.0
e04b_channels,channels,attitude_only,reference,damped_persistence,0.0,damped_persistence,damped_persistence,False,id,ideal,ideal,pitch,pitch,pitch,20,2.0,200,200,False,True,False,False,True,3.0,6.0,-0.5,,True,False,"forecasts roll/pitch/heave only; the rate rows do not exist here and are not imputed, and the quiescence metric cannot be evaluated on this arm",0.3609610371651497,0.3609610371651497,0.0,1.0558935131722773,1.0558935131722773,0.0,0.0,0.0,0.0,,grid_cell,48.0,384.0,1000.0,0.95,0.0
e04b_channels,channels,attitude_only,reference,damped_persistence,0.0,damped_persistence,damped_persistence,False,id,ideal,ideal,pitch,pitch,pitch,30,3.0,200,200,False,True,False,False,True,3.0,6.0,-0.5,,True,False,"forecasts roll/pitch/heave only; the rate rows do not exist here and are not imputed, and the quiescence metric cannot be evaluated on this arm",0.592473036662897,0.592473036662897,0.0,1.0914031283310768,1.0914031283310768,0.0,0.0,0.0,0.0,,grid_cell,48.0,384.0,1000.0,0.95,0.0
e04b_channels,channels,attitude_only,reference,damped_persistence,0.0,damped_persistence,damped_persistence,False,id,ideal,ideal,pitch,pitch,pitch,50,5.0,200,200,False,True,False,False,True,3.0,6.0,-0.5,,True,False,"forecasts roll/pitch/heave only; the rate rows do not exist here and are not imputed, and the quiescence metric cannot be evaluated on this arm",0.6865481144641659,0.6865481144641659,0.0,1.0075790053998548,1.0075790053998548,0.0,0.0,0.0,0.0,,grid_cell,48.0,384.0,1000.0,0.95,0.0
e04b_channels,channels,attitude_only,reference,damped_persistence,0.0,damped_persistence,damped_persistence,False,id,ideal,ideal,pitch,pitch,pitch,100,10.0,200,200,False,True,False,False,True,3.0,6.0,-0.5,,True,False,"forecasts roll/pitch/heave only; the rate rows do not exist here and are not imputed, and the quiescence metric cannot be evaluated on this arm",0.3656527890602212,0.3656527890602212,0.0,1.0004989365456334,1.0004989365456334,0.0,0.0,0.0,0.0,,grid_cell,48.0,384.0,1000.0,0.95,0.0
e04b_channels,channels,attitude_only,reference,damped_persistence,0.0,damped_persistence,damped_persistence,False,id,ideal,ideal,pitch,pitch,pitch,150,15.0,200,200,False,True,False,False,True,3.0,6.0,-0.5,,True,False,"forecasts roll/pitch/heave only; the rate rows do not exist here and are not imputed, and the quiescence metric cannot be evaluated on this arm",0.5023978886241289,0.5023978886241287,2.220446049250313e-16,1.0151106397733791,1.0151106397733791,0.0,-2.220446049250313e-16,1.1102230246251565e-16,-5.551115123125783e-17,,grid_cell,48.0,384.0,1000.0,0.95,0.0
e04b_channels,channels,attitude_only,reference,damped_persistence,0.0,damped_persistence,damped_persistence,False,id,ideal,ideal,roll,roll,roll,10,1.0,200,200,False,True,False,False,True,3.0,6.0,-0.5,,True,False,"forecasts roll/pitch/heave only; the rate rows do not exist here and are not imputed, and the quiescence metric cannot be evaluated on this arm",-0.6384695263285793,-0.6384695263285793,0.0,0.6759014445331949,0.6759014445331949,0.0,0.0,0.0,0.0,,grid_cell,48.0,384.0,1000.0,0.95,0.0
e04b_channels,channels,attitude_only,reference,damped_persistence,0.0,damped_persistence,damped_persistence,False,id,ideal,ideal,roll,roll,roll,20,2.0,200,200,False,True,False,False,True,3.0,6.0,-0.5,,True,False,"forecasts roll/pitch/heave only; the rate rows do not exist here and are not imputed, and the quiescence metric cannot be evaluated on this arm",0.0284487851101662,0.0284487851101662,0.0,1.0019316682234216,1.0019316682234216,0.0,0.0,0.0,0.0,,grid_cell,48.0,384.0,1000.0,0.95,0.0
e04b_channels,channels,attitude_only,reference,damped_persistence,0.0,damped_persistence,damped_persistence,False,id,ideal,ideal,roll,roll,roll,30,3.0,200,200,False,True,False,False,True,3.0,6.0,-0.5,,True,False,"forecasts roll/pitch/heave only; the rate rows do not exist here and are not imputed, and the quiescence metric cannot be evaluated on this arm",0.3850339535149861,0.3850339535149861,0.0,1.1210798251569984,1.1210798251569984,0.0,0.0,0.0,0.0,,grid_cell,48.0,384.0,1000.0,0.95,0.0
e04b_channels,channels,attitude_only,reference,damped_persistence,0.0,damped_persistence,damped_persistence,False,id,ideal,ideal,roll,roll,roll,50,5.0,200,200,False,True,False,False,True,3.0,6.0,-0.5,,True,False,"forecasts roll/pitch/heave only; the rate rows do not exist here and are not imputed, and the quiescence metric cannot be evaluated on this arm",0.69316753137732,0.69316753137732,0.0,1.0651089533369713,1.0651089533369713,0.0,0.0,0.0,0.0,,grid_cell,48.0,384.0,1000.0,0.95,0.0
e04b_channels,channels,attitude_only,reference,damped_persistence,0.0,damped_persistence,damped_persistence,False,id,ideal,ideal,roll,roll,roll,100,10.0,200,200,False,True,False,False,True,3.0,6.0,-0.5,,True,False,"forecasts roll/pitch/heave only; the rate rows do not exist here and are not imputed, and the quiescence metric cannot be evaluated on this arm",0.1860598431748567,0.1860598431748567,0.0,0.9275245204268426,0.9275245204268426,0.0,0.0,0.0,0.0,,grid_cell,48.0,384.0,1000.0,0.95,0.0
e04b_channels,channels,attitude_only,reference,damped_persistence,0.0,damped_persistence,damped_persistence,False,id,ideal,ideal,roll,roll,roll,150,15.0,200,200,False,True,False,False,True,3.0,6.0,-0.5,,True,False,"forecasts roll/pitch/heave only; the rate rows do not exist here and are not imputed, and the quiescence metric cannot be evaluated on this arm",0.3881721635419378,0.3881721635419378,0.0,1.112164765142486,1.112164765142486,0.0,0.0,0.0,0.0,,grid_cell,48.0,384.0,1000.0,0.95,0.0
e04b_channels,channels,attitude_only,reference,dlinear_ols,0.0,dlinear_ols,dlinear_ols,False,id,ideal,ideal,heave,heave,heave,10,1.0,200,200,True,True,False,False,False,60300.0,60300.0,0.0,,True,False,"forecasts roll/pitch/heave only; the rate rows do not exist here and are not imputed, and the quiescence metric cannot be evaluated on this arm",0.9999529064282234,0.9999020185877204,5.088784050299999e-05,0.003992985494569,0.0057595528109173,-0.0017665673163483001,2.2125722837551963e-05,9.896740613679976e-05,5.0887840502852914e-05,,grid_cell,48.0,384.0,1000.0,0.95,0.0
e04b_channels,channels,attitude_only,reference,dlinear_ols,0.0,dlinear_ols,dlinear_ols,False,id,ideal,ideal,heave,heave,heave,20,2.0,200,200,True,True,False,False,False,60300.0,60300.0,0.0,,True,False,"forecasts roll/pitch/heave only; the rate rows do not exist here and are not imputed, and the quiescence metric cannot be evaluated on this arm",0.9987783109159696,0.9973600392875008,0.001418271628468748,0.0385885599742186,0.0567253203667189,-0.018136760392500298,0.0006268999009542001,0.002749185001800753,0.0014182716284687202,,grid_cell,48.0,384.0,1000.0,0.95,0.0
e04b_channels,channels,attitude_only,reference,dlinear_ols,0.0,dlinear_ols,dlinear_ols,False,id,ideal,ideal,heave,heave,heave,30,3.0,200,200,True,True,False,False,False,60300.0,60300.0,0.0,,True,False,"forecasts roll/pitch/heave only; the rate rows do not exist here and are not imputed, and the quiescence metric cannot be evaluated on this arm",0.9911562712073182,0.9823076582150416,0.008848612992276572,0.1426051551391649,0.2017019876040487,-0.059096832464883786,0.0037625125001515634,0.01728148132026625,0.008848612992276463,,grid_cell,48.0,384.0,1000.0,0.95,0.0
e04b_channels,channels,attitude_only,reference,dlinear_ols,0.0,dlinear_ols,dlinear_ols,False,id,ideal,ideal,heave,heave,heave,50,5.0,200,200,True,True,False,False,False,60300.0,60300.0,0.0,,True,False,"forecasts roll/pitch/heave only; the rate rows do not exist here and are not imputed, and the quiescence metric cannot be evaluated on this arm",0.9613774914813844,0.9487541654390362,0.01262332604234817,0.3732617318769215,0.4299545141978708,-0.056692782320949264,0.0032905019220100056,0.027395396895621343,0.012623326042348164,,grid_cell,48.0,384.0,1000.0,0.95,0.0
e04b_channels,channels,attitude_only,reference,dlinear_ols,0.0,dlinear_ols,dlinear_ols,False,id,ideal,ideal,heave,heave,heave,100,10.0,200,200,True,True,False,False,False,60300.0,60300.0,0.0,,True,False,"forecasts roll/pitch/heave only; the rate rows do not exist here and are not imputed, and the quiescence metric cannot be evaluated on this arm",0.5386405636802886,0.5040957158398585,0.034544847840430104,0.7457913130384533,0.7732083699705835,-0.027417056932130257,0.001691048704212587,0.07136942815599244,0.034544847840430326,,grid_cell,48.0,384.0,1000.0,0.95,0.0
e04b_channels,channels,attitude_only,reference,dlinear_ols,0.0,dlinear_ols,dlinear_ols,False,id,ideal,ideal,heave,heave,heave,150,15.0,200,200,True,True,False,False,False,60300.0,60300.0,0.0,,True,False,"forecasts roll/pitch/heave only; the rate rows do not exist here and are not imputed, and the quiescence metric cannot be evaluated on this arm",0.5740334802092548,0.5492593285082926,0.0247741517009622,0.9518097601179426,0.9790971686965032,-0.0272874085785606,-0.003151313470838382,0.0718864843182564,0.024774151700962255,,grid_cell,48.0,384.0,1000.0,0.95,0.0
e04b_channels,channels,attitude_only,reference,dlinear_ols,0.0,dlinear_ols,dlinear_ols,False,id,ideal,ideal,pitch,pitch,pitch,10,1.0,200,200,True,True,False,False,False,60300.0,60300.0,0.0,,True,False,"forecasts roll/pitch/heave only; the rate rows do not exist here and are not imputed, and the quiescence metric cannot be evaluated on this arm",0.9998419036222838,0.9998890367865136,-4.713316422988445e-05,0.0090790623254871,0.0076062316939112,0.0014728306315758997,-0.00010570195300421996,6.336769553128581e-06,-4.71331642299683e-05,,grid_cell,48.0,384.0,1000.0,0.95,0.0
e04b_channels,channels,attitude_only,reference,dlinear_ols,0.0,dlinear_ols,dlinear_ols,False,id,ideal,ideal,pitch,pitch,pitch,20,2.0,200,200,True,True,False,False,False,60300.0,60300.0,0.0,,True,False,"forecasts roll/pitch/heave only; the rate rows do not exist here and are not imputed, and the quiescence metric cannot be evaluated on this arm",0.9966385022390216,0.997249304276622,-0.0006108020376003331,0.0765813231719409,0.0692751905081421,0.0073061326637988006,-0.0016986585226827164,0.0003318881698788453,-0.000610802037600308,,grid_cell,48.0,384.0,1000.0,0.95,0.0
e04b_channels,channels,attitude_only,reference,dlinear_ols,0.0,dlinear_ols,dlinear_ols,False,id,ideal,ideal,pitch,pitch,pitch,30,3.0,200,200,True,True,False,False,False,60300.0,60300.0,0.0,,True,False,"forecasts roll/pitch/heave only; the rate rows do not exist here and are not imputed, and the quiescence metric cannot be evaluated on this arm",0.9803585905315094,0.9830660751812946,-0.002707484649785208,0.2396036032596558,0.2224773658182439,0.017126237441411896,-0.008453859005339417,0.0023307182771963465,-0.0027074846497852356,,grid_cell,48.0,384.0,1000.0,0.95,0.0
e04b_channels,channels,attitude_only,reference,dlinear_ols,0.0,dlinear_ols,dlinear_ols,False,id,ideal,ideal,pitch,pitch,pitch,50,5.0,200,200,True,True,False,False,False,60300.0,60300.0,0.0,,True,False,"forecasts roll/pitch/heave only; the rate rows do not exist here and are not imputed, and the quiescence metric cannot be evaluated on this arm",0.9459163763063282,0.9543196059266156,-0.008403229620287389,0.4185299654016622,0.3846436677956912,0.033886297605971005,-0.018019898281809697,0.0001916977907970654,-0.008403229620287327,,grid_cell,48.0,384.0,1000.0,0.95,0.0
e04b_channels,channels,attitude_only,reference,dlinear_ols,0.0,dlinear_ols,dlinear_ols,False,id,ideal,ideal,pitch,pitch,pitch,100,10.0,200,200,True,True,False,False,False,60300.0,60300.0,0.0,,True,False,"forecasts roll/pitch/heave only; the rate rows do not exist here and are not imputed, and the quiescence metric cannot be evaluated on this arm",0.5485570897580685,0.5682817509441911,-0.019724661186122594,0.8440234877363384,0.8253788146957386,0.018644673040599802,-0.033023745669526545,-0.0022150136493238625,-0.019724661186122594,,grid_cell,48.0,384.0,1000.0,0.95,0.0
e04b_channels,channels,attitude_only,reference,dlinear_ols,0.0,dlinear_ols,dlinear_ols,False,id,ideal,ideal,pitch,pitch,pitch,150,15.0,200,200,True,True,False,False,False,60300.0,60300.0,0.0,,True,False,"forecasts roll/pitch/heave only; the rate rows do not exist here and are not imputed, and the quiescence metric cannot be evaluated on this arm",0.5030158584198114,0.5193732556327721,-0.0163573972129607,1.0144801133105787,0.9976454800424314,0.01683463326814738,-0.029391698125394206,0.00159411839555454,-0.016357397212960922,,grid_cell,48.0,384.0,1000.0,0.95,0.0
e04b_channels,channels,attitude_only,reference,dlinear_ols,0.0,dlinear_ols,dlinear_ols,False,id,ideal,ideal,roll,roll,roll,10,1.0,200,200,True,True,False,False,False,60300.0,60300.0,0.0,,True,False,"forecasts roll/pitch/heave only; the rate rows do not exist here and are not imputed, and the quiescence metric cannot be evaluated on this arm",0.9999817941289496,0.9999643415767644,1.7452552185215353e-05,0.0022530452886075,0.0031531545510701,-0.0009001092624626003,1.3582613896189481e-05,2.3889120623186906e-05,1.7452552185067817e-05,,grid_cell,48.0,384.0,1000.0,0.95,0.0
e04b_channels,channels,attitude_only,reference,dlinear_ols,0.0,dlinear_ols,dlinear_ols,False,id,ideal,ideal,roll,roll,roll,20,2.0,200,200,True,True,False,False,False,60300.0,60300.0,0.0,,True,False,"forecasts roll/pitch/heave only; the rate rows do not exist here and are not imputed, and the quiescence metric cannot be evaluated on this arm",0.9995413861255988,0.9990725255356578,0.00046886058994100033,0.0217685172676616,0.0309568123534101,-0.009188295085748501,0.0003681934748855767,0.0006399017460360152,0.0004688605899407956,,grid_cell,48.0,384.0,1000.0,0.95,0.0
